,State,District,Positive_cases
144,ODISHA,BHADRAK,3
145,ODISHA,CUTTACK,1
146,ODISHA,JAJPUR,1
147,ODISHA,"KHURDA(BHUVANESHWAR)",14
148,ODISHA,PURI,1
149,PUDUCHERRY,MAHE,1
150,PUDUCHERRY,PONDICHERRY,4
151,PUNJAB,AMRITSAR,5
152,PUNJAB,HOSHIARPUR,7
153,PUNJAB,JALANDHAR,5
154,PUNJAB,LUDHIANA,4
155,PUNJAB,MANSA,3
156,PUNJAB,"NAWANSHAHR (SBSNagar)",19
157,PUNJAB,PATIALA,1
158,PUNJAB,RUPNAGAR,1
159,PUNJAB,SASNAGAR,12
160,RAJASTHAN,AJMER,5
161,RAJASTHAN,ALWAR,5
162,RAJASTHAN,BANSWARA,2
163,RAJASTHAN,BHARATPUR,6
164,RAJASTHAN,BHILWARA,27
165,RAJASTHAN,BIKANER,3
166,RAJASTHAN,CHURU,10
167,RAJASTHAN,DAUSA,1
168,RAJASTHAN,DHOLPUR,1
169,RAJASTHAN,DUNGARPUR,3
170,RAJASTHAN,JAIPUR,54
171,RAJASTHAN,JHUNJHUNU,15
172,RAJASTHAN,JODHPUR,17
173,RAJASTHAN,PALI,1
174,RAJASTHAN,PRATAPGARH,2
175,RAJASTHAN,SIKAR,1
176,RAJASTHAN,TONK,16
177,RAJASTHAN,UDAIPUR,4
178,RAJASTHAN,Evacuees from Iran,27
179,TAMIL NADU,CHENGALPATTU,18
180,TAMIL NADU,DINDIGUL,43
181,TAMIL NADU,KARUR,20
182,TAMIL NADU,NAGAPATTINAM,5
183,TAMIL NADU,"NAGERKOIL(KANYAKUMARI)",5
184,TAMIL NADU,RANIPET,5
185,TAMIL NADU,SALEM,8
186,TAMIL NADU,SIVAGANGAI,5
187,TAMIL NADU,THANJAVUR,1
188,TAMIL NADU,THENI,21
189,TAMIL NADU,THIRUVALLUR,1
190,TAMIL NADU,THIRUVARUR,12
191,TAMIL NADU,THOOTHUKUDI,9
192,TAMIL NADU,TIRUNELVELI,36
193,TAMIL NADU,TIRUPATTUR,10
194,TAMIL NADU,TIRUPPUR,1
195,TAMIL NADU,TIRUVANNAMALAI,6
196,TAMIL NADU,VELLORE,1
197,TAMIL NADU,VILLUPURAM,9
198,TAMIL NADU,VIRUDHUNAGAR,11
199,TELANGANA,ADILABAD,9
200,TELANGANA,MEDAK,5
201,TELANGANA,MEDCHAL,15
202,TELANGANA,NAGARKURNOOL,2
203,TELANGANA,NALGONDA,13
204,TELANGANA,NIZAMABAD,18
